                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 2.9162,                 3.3043,                 3.0551,                0.00333,                      1,                0.01209,                0.00211,                 3.2355,                 3.9489,                 3.2072,              0.0004967,              0.0004967,              0.0004967
                     59,                 2.6263,                 3.1465,                 2.7099,                0.00333,                      1,                0.01209,                0.00211,                 3.2355,                 3.9489,                 3.2072,             0.00049393,             0.00049393,             0.00049393
                     60,                  2.666,                 3.3622,                 2.6531,                0.00333,                      1,                0.00976,                0.00196,                 3.2128,                 3.9221,                 3.1624,             0.00049076,             0.00049076,             0.00049076
                     61,                  2.438,                 2.8976,                 2.6344,                0.00333,                      1,                0.00976,                0.00196,                 3.2128,                 3.9221,                 3.1624,              0.0004872,              0.0004872,              0.0004872
                     62,                 2.6456,                 3.1308,                 2.6546,                0.00333,                      1,                0.00976,                0.00196,                 3.2128,                 3.9221,                 3.1624,             0.00048324,             0.00048324,             0.00048324
                     63,                 2.4108,                 3.2347,                 2.5059,                0.00333,                      1,                0.00902,                 0.0021,                  3.185,                 3.8274,                 3.1285,             0.00047889,             0.00047889,             0.00047889
                     64,                 2.7682,                 3.5958,                 2.7402,                0.00333,                      1,                0.00902,                 0.0021,                  3.185,                 3.8274,                 3.1285,             0.00047414,             0.00047414,             0.00047414
                     65,                 2.6186,                 3.1317,                 2.6637,                0.00333,                      1,                0.00902,                 0.0021,                  3.185,                 3.8274,                 3.1285,             0.00046899,             0.00046899,             0.00046899
                     66,                 2.3736,                 3.1806,                 2.5388,                0.00333,                      1,                0.00868,                0.00196,                 3.1658,                 3.7565,                 3.1017,             0.00046345,             0.00046345,             0.00046345
                     67,                  2.552,                 3.1066,                 2.7066,                0.00333,                      1,                0.00868,                0.00196,                 3.1658,                 3.7565,                 3.1017,             0.00045751,             0.00045751,             0.00045751
                     68,                 2.6513,                 3.3042,                 2.5994,                0.00333,                      1,                0.00868,                0.00196,                 3.1658,                 3.7565,                 3.1017,             0.00045118,             0.00045118,             0.00045118
                     69,                  2.689,                 3.4099,                 2.8953,                0.00333,                      1,                0.00924,                0.00225,                 3.1421,                 3.7269,                 3.0836,             0.00044445,             0.00044445,             0.00044445
                     70,                 2.5267,                 3.5467,                 2.8065,                0.00333,                      1,                0.00924,                0.00225,                 3.1421,                 3.7269,                 3.0836,             0.00043732,             0.00043732,             0.00043732
                     71,                 2.3572,                 3.0882,                 2.6162,                0.00333,                      1,                0.00924,                0.00225,                 3.1421,                 3.7269,                 3.0836,              0.0004298,              0.0004298,              0.0004298
                     72,                 3.1104,                 3.7283,                 2.7927,                0.00333,                      1,                0.01135,                0.00276,                 3.0828,                 3.7058,                 3.0968,             0.00042188,             0.00042188,             0.00042188
                     73,                 2.4886,                 3.0703,                 2.5437,                0.00333,                      1,                0.01135,                0.00276,                 3.0828,                 3.7058,                 3.0968,             0.00041357,             0.00041357,             0.00041357
                     74,                 2.3086,                 2.7572,                 2.4517,                0.00333,                      1,                0.01135,                0.00276,                 3.0828,                 3.7058,                 3.0968,             0.00040486,             0.00040486,             0.00040486
